"","V1","V2","V3","V4","V5","V6","V7","C1","C2","C3","C4","C5","C6","C7","FY","CY"
"1",0,0,0,17250682.8953349,0,0,0,0,0,0,6572.66666666667,0,0,0,2003,2003
"2",106826.735407775,0,0,2903742.29991111,0,0,0,332.969230769231,0,0,1704.0873015873,0,0,0,2003,2003
"3",0,11559990.0011435,0,0,0,0,0,0,3465.125,0,0,0,0,0,2003,2003
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,2003
"5",0,3051626.16402026,0,82468.1206447003,681946.39999183,0,0,0,2012.33887695039,0,287.179856115108,1157.03896103896,0,0,2004,2003
"6",0,0,0,43960363.14772,0,0,0,0,0,0,11576.8125,0,0,0,2004,2003
"7",0,2154469.96771725,1897628.18919669,1480436.3505771,0,0,0,0,2466.84931506849,2456.80677135538,2158.49315068493,0,0,0,2004,2004
"8",0,2478631.36608212,0,0,0,0,0,0,1574.43396226415,0,0,0,0,0,2004,2004
"9",0,0,0,6405683.14418569,0,0,0,0,0,0,3537.1875,0,0,0,2004,2004
"10",0,0,0,45936113.0008679,0,0,0,0,0,0,8969.53846153846,0,0,0,2005,2004
"11",0,0,0,14936873.8570184,0,0,0,0,0,0,5125.09433962264,0,0,0,2005,2004
"12",160740.721070262,0,5786665.95852945,9346385.65216522,163805.985377581,0,642962.88428105,406.484848484848,0,2438.90909090909,5690.78787878788,406.484848484848,0,812.969696969697,2005,2004
"13",0,1525768.94909188,4931864.13872252,20970733.0715906,580437.166592583,0,591272.374237333,0,1938.19875776398,4264.03049124788,7350.61084272678,775.272727272727,0,775.27950310559,2005,2005
"14",96083.8745283785,0,0,384335.498113514,0,0,0,313.56862745098,0,0,627.137254901961,0,0,0,2005,2005
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005
"16",0,0,274671.199126915,0,0,0,0,0,0,524.095652173913,0,0,0,0,2006,2005
"17",0,0,0,24855597.7918603,3976895.64669764,0,0,0,0,0,4985.63758389262,1994.25503355705,0,0,2006,2005
"18",1332998.21014293,10933559.54582,2996469.11685033,6871962.41333783,0,0,8331238.81339332,1159.65853658537,6961.38800040107,1735.82142857143,4638.63414634146,0,0,2899.14634146341,2006,2005
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006
"20",0,0,3312796.11192103,7409369.80006444,7409369.80006444,0,0,0,0,1820.16806722689,2753.38983050847,2753.38983050847,0,0,2006,2006
"21",0,4413513.12429426,84689.0388687488,3235308.70023796,0,0,0,0,3153.64480874317,292.333333333333,2861.31147540984,0,0,0,2006,2006
"22",0,0,1373994.61183396,0,0,0,0,0,0,1172.1884057971,0,0,0,0,2007,2006
"23",0,0,745492.267752147,5315041.42859084,6586191.58634282,0,0,0,0,863.438356164384,3011.37953263497,2577.52941176471,0,0,2007,2006
"24",0,0,0,150971239.691688,0,0,0,0,0,0,12595.2577319588,0,0,0,2007,2006
"25",0,1977061.69032792,0,26577371.1759019,0,0,0,0,1414.03636363636,0,7133.93922396622,0,0,0,2007,2007
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2007
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2007
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2007
"29",2146924.91090814,3929814.83333998,5705588.72085476,0,12952055.9291524,0,116440.586139893,2051.89884135472,1977,2387.95145631068,0,4657.93181818182,0,341.135922330097,2008,2007
"30",0,0,796194.701546722,258677.369620174,0,0,0,0,0,1237.86805783766,508.603351955307,0,0,0,2008,2007
"31",0,27063.001152455,1647552.37587163,6762817.35288465,242371.889310662,0,0,0,164.111111111111,1805.18799368088,3610.34175882043,492.312796208531,0,0,2008,2008
"32",0,0,0,12043167.8376806,3440215.59305785,3440168.89940829,0,0,0,0,5564.32657342657,1854.78181818182,1854.76923076923,0,2008,2008
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2008
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2008
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2008
"36",602038.036635924,6855504.69057452,12327931.2362308,38344828.9626197,5321429.40627288,0,18378912.224791,1071.62790697674,4822.32558139535,4822.32558139535,9644.63953488372,3750.6976744186,0,4286.51162790698,2009,2008
"37",0,0,0,122783.309683121,29687.1999538845,480386.215839296,0,0,0,0,350.404494382022,174.196531791908,696.78612716763,0,2009,2009
"38",0,86716.9505098855,868772.124439811,413107.479427673,0,0,0,0,294.477419354839,1472.38709677419,1177.90967741935,0,0,0,2009,2009
"39",0,0,7787756.34036815,0,0,0,0,0,0,2786.11764705882,0,0,0,0,2009,2009
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2009
"41",0,45308.523125941,0,6510095.54466991,0,0,0,0,212.85798816568,0,5244.3025511811,0,0,0,2010,2009
"42",0,1285170.69609402,2432743.82483518,23233904.7932294,268705.951791313,0,137934.043091282,0,1935.62623499012,3064.74418604651,9179.92244993529,645.209302325581,0,483.906976744186,2010,2009
"43",0,1218203.8605125,1953098.33206346,1938302.69642867,0,0,0,0,1396.1155638397,1396.13793103448,2085.01451905626,0,0,0,2010,2010
"44",0,101172.489412443,3642209.61884796,0,0,0,0,0,320.603773584906,1923.62264150943,0,0,0,0,2010,2010
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2010
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2010
"47",671416.522981805,854266.897057113,169990.161764278,24251953.440791,169990.161764278,174306.25,0,824.294871794872,1241.79487179487,412.147435897436,6055.32428355958,412.147435897436,417.5,0,2011,2010
